domain,registrant
"aro.gov.au","Department of Social Services"
"arpansa.gov.au","Australian Radiation Protection and Nuclear Safety Agency"
"arpc.gov.au","Australian Reinsurance Pool Corporation"
"artbank.gov.au","Attorney-General's Department"
"artonline.gov.au","National Gallery of Australia"
"arts.gov.au","Attorney-General's Department"
"artscast.gov.au","National Gallery of Australia"
"artsshop.gov.au","National Gallery of Australia"
"asac.gov.au","Australian Bureau of Statistics"
"asada.gov.au","Australian Sports Anti-Doping Authority"
"asbc.gov.au","Department of the Treasury"
"asbestossafety.gov.au","Department of Employment"
"asc.gov.au","Australian Securities and Investments Commission"
"ascc.gov.au","Department of Employment"
"asd.gov.au","Australian Signals Directorate"
"asdmac.gov.au","Australian Sports Anti-Doping Authority"
"asic.gov.au","Australian Securities and Investments Commission"
"asio.gov.au","Australian Security Intelligence Organisation"
"asis.gov.au","Department of Foreign Affairs and Trade"
"asknow.gov.au","National Library of Australia"
"aso.gov.au","National Film and Sound Archive"
"asqa.gov.au","Australian Skills Quality Authority"
"atap.gov.au","Department of Infrastructure and Regional Development"
"ato.gov.au","Australian Taxation Office"
"atonregulators.gov.au","Australian Maritime Safety Authority"
"atsb.gov.au","Australian Transport Safety Bureau"
"atsihealthpracticeboard.gov.au","Australian Health Practitioner Regulation Agency (AHPRA)"
"attorneygeneral.gov.au","Attorney-General's Department"
"auasb.gov.au","Australian Accounting Standards Board"
"aus.gov.au","Department of Finance"
"ausaid.gov.au","Australian Agency for International Development"
"ausaidservices.gov.au","Department of Foreign Affairs and Trade"
"ausaidvolunteers.gov.au","Australian Agency for International Development"
"ausgoal.gov.au","(SA) Office of the Chief Information Officer"
"ausgovboards.gov.au","Department of Finance"
"ausindustry.gov.au","Department of Industry and Science"
"auskey.gov.au","Australian Taxation Office"
"auslig.gov.au","Australian Surveying and Land Information Group"
"auslink.gov.au","Department of Infrastructure and Regional Development"
"ausmat.gov.au","(NT) Department of Health - National Critical Care and Trauma Response Centre"
"ausncp.gov.au","Department of the Treasury"
"ausport.gov.au","Australian Sports Commission (ASC)"
"austender.gov.au","Department of Finance"
"austmus.gov.au","The Australian Museum"
"austrac.gov.au","Australian Transaction Reports and Analysis Centre"
"austrade.gov.au","Australian Trade Commission (Austrade)"
"austradeevents.gov.au","Australian Trade Commission (Austrade)"
"australia.gov.au","Department of Finance"
"australia1942.gov.au","(NSW) Board of Studies NEW SOUTH WALES"
"australiaawards.gov.au","Australian Agency for International Development"
"australiacouncil.gov.au","Australia Council"
"australiaday.gov.au","National Australia Day Council"
"australianaidvolunteers.gov.au","Department of Foreign Affairs and Trade"
"australianapprenticeships.gov.au","Department of Industry and Science"
"australianart.gov.au","National Gallery of Australia"
"australianbiography.gov.au","National Film and Sound Archive of Australia"
"australiancancertrials.gov.au","Cancer Australia"
"australianclinicaltrials.gov.au","National Health and Medical Research Council (NHMRC)"
"australianexportawards.gov.au","Australian Trade Commission (Austrade)"
"australiangovernmentbonds.gov.au","Department of the Treasury"
"australiangovernmentsolicitor.gov.au","Australian Government Solicitor"
"australianminesatlas.gov.au","Geoscience Australia"
"australianoftheyear.gov.au","National Australia Day Council"
"australianprints.gov.au","National Gallery of Australia"
"australiansatwar.gov.au","Department of Veterans' Affairs"
"australiansatwarfilmarchive.gov.au","Department of Veterans' Affairs"
"australianscholarships.gov.au","Department of Foreign Affairs and Trade"
"australiantrainingawards.gov.au","Department of Industry and Science"
"australia-unhrc.gov.au","Department of Foreign Affairs and Trade"
"australiaunlimited.gov.au","Australian Trade Commission (Austrade)"
"australia-unsc.gov.au","Department of Foreign Affairs and Trade"
"aviationcomplaints.gov.au","Civil Aviation Safety Authority"
"avo.gov.au","Australian Valuation Office"
"awbc.gov.au","Australian Wine and Brandy Corporation"
"awc.gov.au","Department of Finance"
"awdc.gov.au","Department of Finance"
"awm.gov.au","Australian War Memorial"
"awmlondon.gov.au","Department of Veterans' Affairs"
"awpa.gov.au","Department of Industry and Science"
"bankingreforms.gov.au","Department of the Treasury"
"bettertax.gov.au","Department of the Treasury"
"bioregionalassessments.gov.au","Bureau of Meteorology"
"biosecurityaustralia.gov.au","Department of Agriculture"
"biotechnologyonline.gov.au","Commonwealth Scientific and Industrial Research Organisation (CSIRO)"
"bitre.gov.au","Department of Infrastructure and Regional Development"
"bladderbowel.gov.au","Department of Social Services"
"blood.gov.au","National Blood Authority"
"bmr.gov.au","Geoscience Australia"
"boardlinks.gov.au","Department of Finance"
"bom.gov.au","Bureau of Meteorology"
"booderee.gov.au","Department of the Environment"
"border.gov.au","Department of Immigration and Border Protection"
"bpc.gov.au","Australian Customs and Border Protection Service"
"brandaustralia.gov.au","Australian Trade Commission (Austrade)"
"brc.gov.au","(QLD) Dumaresq-Barwon Border Rivers Commission"
"bree.gov.au","Department of Industry and Science"
"btre.gov.au","Department of Infrastructure and Regional Development"
"budget.gov.au","Department of the Treasury"
"buildingourfuture.gov.au","Department of Infrastructure and Regional Development"
"buildingtheeducationrevolution.gov.au","Department of Education and Training"
"bullyingnoway.gov.au","(QLD) Department of Education and Training"
"bushfirearson.gov.au","Attorney-General's Department"
"business.gov.au","Department of Industry and Science"
"businessclubaustralia.gov.au","Australian Trade Commission (Austrade)"
"cadetnet.gov.au","Department of Defence"
"caf.gov.au","(QLD) Department of the Premier and Cabinet"
"caldb.gov.au","Australian Securities and Investments Commission"
"camac.gov.au","Department of the Treasury"
"canbr.gov.au","Centre for Australian National Biodiversity Research"
"canceraustralia.gov.au","Cancer Australia"
"cancerlearning.gov.au","Cancer Australia"
"cancerscreening.gov.au","Department of Health"
"capabilitycentral.gov.au","IP Australia"
"cargosupport.gov.au","Australian Customs and Border Protection Service"
"casa.gov.au","Civil Aviation Safety Authority"
"cawcr.gov.au","Bureau of Meteorology"
"cbd.gov.au","Department of Industry and Science"
"ccaac.gov.au","Department of the Treasury"
"ccass.gov.au","Department of Social Services"
"ccc.gov.au","Attorney-General's Department"
"ccim.gov.au","Geoscience Australia"
"ccjanz.gov.au","High Court of Australia"
"cdepmanager.gov.au","Department of the Prime Minister and Cabinet"
"cdpp.gov.au","Commonwealth Director of Public Prosecutions"
"cefcexpertreview.gov.au","Department of the Treasury"
"census.gov.au","Australian Bureau of Statistics"
"centerlink.gov.au","Department of Human Services"
"centrelink.gov.au","Department of Human Services"
"cert.gov.au","Attorney-General's Department"
"cesc.gov.au","Australian Communications and Media Authority (ACMA)"
"cfr.gov.au","Reserve Bank of Australia"
"cgc.gov.au","Commonwealth Grants Commision"
"cgris.gov.au","Department of the Prime Minister and Cabinet"
"chabg.gov.au","Centre for Australian National Biodiversity Research"
"chah.gov.au","Centre for Australian National Biodiversity Research"
"challengeofchange.gov.au","Department of the Treasury"
"chemicalsecurity.gov.au","Attorney-General's Department"
"chiefscientist.gov.au","Department of Industry and Science"
"childabuseroyalcommission.gov.au","Attorney-General's Department"
"chinesemedicineboard.gov.au","Australian Health Practitioner Regulation Agency (AHPRA)"
"chiropracticboard.gov.au","Australian Health Practitioner Regulation Agency (AHPRA)"
"chowderbay.gov.au","Sydney Harbour Federation Trust"
"cip.gov.au","Critical Infrastructure Protection"
"citizenship.gov.au","Department of Immigration and Border Protection"
"classification.gov.au","Attorney-General's Department"
"cleanenergyregulator.gov.au","Clean Energy Regulator"
"climate.gov.au","Bureau of Meteorology"
"climatechange.gov.au","Department of the Environment"
"climatechangeauthority.gov.au","Department of Industry and Science"
"climatechangeinaustralia.gov.au","Commonwealth Scientific and Industrial Research Organisation (CSIRO)"
"clinicalguidelines.gov.au","National Health and Medical Research Council (NHMRC)"
"cliniciansconnect.gov.au","Department of Health"
"cmc.gov.au","Attorney-General's Department"
"coag.gov.au","Department of the Prime Minister and Cabinet"
"coagctreview.gov.au","Attorney-General's Department"
"coaghealthcouncil.gov.au","Health, Community & Disability Services Ministerial Council"
"coagreformcouncil.gov.au","Department of the Prime Minister and Cabinet"
